SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	March 29, 2021	March 26, 2021	March 25, 2021	March 24, 2021	March 23, 2021
Chinese yuan		0.1076050000	0.1076480000	0.1076630000	0.1076690000
Euro		0.8296630000	0.8303510000	0.8307060000	0.8330860000
Japanese yen		0.0064426200	0.0064618700	0.0064669100	0.0064407300
U.K. pound		0.9700400000	0.9638530000	0.9633380000	0.9658700000
U.S. dollar		0.7041780000	0.7035680000	0.7025000000	0.7010740000
Algerian dinar		0.0052430900	0.0052416100	0.0052355500	0.0052414900
Australian dollar		0.5360910000	0.5347120000	0.5339700000	0.5398270000
Botswana pula		0.0635873000	0.0635322000	0.0636465000	0.0637977000
Brazilian real		0.1234620000	0.1243510000	0.1269790000	0.1275960000
Brunei dollar		0.5225420000	0.5224390000	0.5220330000	0.5229550000
Canadian dollar		0.5597600000	0.5581220000	0.5592260000	0.5580910000
Chilean peso		0.0009635450	0.0009726520	0.0009748550	0.0009785250
Colombian peso		0.0001924920	0.0001935470	0.0001956920	0.0001973000
Czech koruna		0.0318071000	0.0316538000	0.0316984000	0.0318020000
Danish krone		0.1115720000	0.1116670000	0.1117140000	0.1120340000
Indian rupee		0.0097256000	0.0096896600	0.0096688800	0.0096977000
Israeli New Shekel		0.2117830000	0.2125580000	0.2132020000	
Korean won		0.0006208590	0.0006207040	0.0006227840	0.0006197070
Kuwaiti dinar			2.3289200000	2.3253900000	2.3218200000
Malaysian ringgit		0.1698250000	0.1699640000	0.1702000000	0.1703290000
Mauritian rupee		0.0173901000	0.0173523000	0.0173214000	0.0172977000
Mexican peso		0.0342371000	0.0338804000	0.0337932000	0.0339654000
New Zealand dollar		0.4905300000	0.4910200000	0.4913290000	0.4985340000
Norwegian krone		0.0819355000	0.0816849000	0.0817926000	0.0818495000
Omani rial			1.8298300000	1.8270500000	1.8233400000
Peruvian sol		0.1885850000	0.1886750000	0.1887930000	0.1886640000
Philippine peso		0.0144800000	0.0144526000	0.0144529000	0.0144301000
Polish zloty		0.1791480000	0.1792390000	0.1796770000	0.1809410000
Qatari riyal			0.1932880000	0.1929950000	0.1926030000
Russian ruble		0.0092951500	0.0092363200	0.0092247900	0.0093031800
Saudi Arabian riyal					
Singapore dollar		0.5225420000	0.5224390000	0.5220330000	0.5229550000
South African rand		0.0467374000	0.0471181000	0.0475707000	0.0472517000
Swedish krona		0.0814333000	0.0816422000	0.0815239000	0.0819280000
Swiss franc		0.7482900000	0.7520370000	0.7512570000	0.7542080000
Thai baht		0.0226082000	0.0226279000	0.0226489000	0.0226430000
Trinidadian dollar		0.1037690000	0.1037420000	0.1036530000	0.1034180000
U.A.E. dirham			0.1915770000	0.1912870000	0.1908980000
Uruguayan peso		0.0158178000	0.0158508000	0.0158811000	0.0158833000

Currency units per SDR(3)

Currency	March 29, 2021	March 26, 2021	March 25, 2021	March 24, 2021	March 23, 2021
Chinese yuan		9.293250	9.289540	9.288240	9.287720
Euro		1.205310	1.204310	1.203800	1.200360
Japanese yen		155.216000	154.754000	154.633000	155.262000
U.K. pound		1.030890	1.037500	1.038060	1.035340
U.S. dollar		1.420100	1.421330	1.423490	1.426380
Algerian dinar		190.727000	190.781000	191.002000	190.785000
Australian dollar		1.865350	1.870170	1.872760	1.852450
Botswana pula		15.726400	15.740000	15.711800	15.674500
Brazilian real		8.099660	8.041750	7.875320	7.837240
Brunei dollar		1.913720	1.914100	1.915590	1.912210
Canadian dollar		1.786480	1.791720	1.788190	1.791820
Chilean peso		1,037.830000	1,028.120000	1,025.790000	1,021.950000
Colombian peso		5,195.020000	5,166.700000	5,110.070000	5,068.420000
Czech koruna		31.439500	31.591800	31.547300	31.444600
Danish krone		8.962820	8.955200	8.951430	8.925860
Indian rupee		102.821000	103.203000	103.425000	103.117000
Israeli New Shekel		4.721810	4.704600	4.690390	
Korean won		1,610.670000	1,611.070000	1,605.690000	1,613.670000
Kuwaiti dinar			0.429384	0.430035	0.430697
Malaysian ringgit		5.888410	5.883600	5.875440	5.870990
Mauritian rupee		57.504000	57.629200	57.732100	57.811200
Mexican peso		29.208100	29.515600	29.591800	29.441700
New Zealand dollar		2.038610	2.036580	2.035300	2.005880
Norwegian krone		12.204700	12.242200	12.226000	12.217500
Omani rial			0.546499	0.547330	0.548444
Peruvian sol		5.302650	5.300120	5.296810	5.300430
Philippine peso		69.060800	69.191700	69.190300	69.299600
Polish zloty		5.581980	5.579140	5.565540	5.526660
Qatari riyal			5.173630	5.181480	5.192030
Russian ruble		107.583000	108.268000	108.404000	107.490000
Saudi Arabian riyal					
Singapore dollar		1.913720	1.914100	1.915590	1.912210
South African rand		21.396100	21.223300	21.021300	21.163300
Swedish krona		12.280000	12.248600	12.266300	12.205800
Swiss franc		1.336380	1.329720	1.331100	1.325890
Thai baht		44.231700	44.193200	44.152300	44.163800
Trinidadian dollar		9.636790	9.639300	9.647570	9.669500
U.A.E. dirham			5.219830	5.227750	5.238400
Uruguayan peso		63.219900	63.088300	62.967900	62.959200


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
